"CCG_CODE","ONS_CCG_CODE","TOTAL_ALL","TOTAL_MALE","TOTAL_FEMALE","MALE_0-4","MALE_5-9","MALE_10-14","MALE_15-19","MALE_20-24","MALE_25-29","MALE_30-34","MALE_35-39","MALE_40-44","MALE_45-49","MALE_50-54","MALE_55-59","MALE_60-64","MALE_65-69","MALE_70-74","MALE_75-79","MALE_80-84","MALE_85-89","MALE_90-94","MALE_95+","FEMALE_0-4","FEMALE_5-9","FEMALE_10-14","FEMALE_15-19","FEMALE_20-24","FEMALE_25-29","FEMALE_30-34","FEMALE_35-39","FEMALE_40-44","FEMALE_45-49","FEMALE_50-54","FEMALE_55-59","FEMALE_60-64","FEMALE_65-69","FEMALE_70-74","FEMALE_75-79","FEMALE_80-84","FEMALE_85-89","FEMALE_90-94","FEMALE_95+"
"08L","E38000098",318460,156102,162358,11464,10374,8620,8135,9264,13785,16143,15310,12899,11972,10927,8324,5669,4409,3148,2514,1809,925,319,92,10800,10169,8346,7984,11127,16623,17270,15168,11972,11353,10962,8156,5767,4687,3798,3240,2350,1620,704,262
"08M","E38000113",381187,198346,182841,14649,13704,11648,10835,13131,22887,25143,20597,15656,13504,10861,8639,6025,3997,2526,2172,1438,677,213,44,14151,13424,11424,10584,14858,21600,20965,16096,12354,11101,9545,7583,5735,4413,3086,2635,1746,958,453,130
"08N","E38000138",305972,152301,153671,11775,11249,10057,9143,8673,12369,14067,13725,11361,10328,9284,7930,6194,5427,3756,2979,2190,1196,495,103,11056,10740,9387,8562,9229,13475,14938,13178,10362,9798,8911,7800,6486,5711,4387,3560,2839,1983,969,300
"08P","E38000140",212129,105595,106534,6894,7453,5992,5116,4688,5921,7429,9573,10120,9325,8505,6361,4870,4711,3429,2261,1538,918,389,102,6768,7041,5978,5202,5577,6630,8152,9622,9073,8247,7240,5894,4833,5020,3807,2647,2066,1568,874,295
"08Q","E38000171",317609,158805,158804,10076,9423,7767,7248,10248,17638,18709,16337,13297,12358,10896,8301,5374,4043,2698,2086,1278,718,252,58,9739,9095,7498,7326,12974,20166,18435,14840,11748,10600,9835,7465,5237,4185,3087,2637,1954,1247,586,150
"08R","E38000105",222440,112435,110005,7432,7547,6103,5385,5817,8919,11081,11514,9948,8636,7485,6028,4605,4053,2803,2265,1539,876,320,79,7137,7140,5891,5273,6423,9902,10883,10184,8181,7392,6826,5622,4656,4222,3118,2677,2063,1445,709,261
"08T","E38000179",191019,94338,96681,6625,6764,5638,5416,5177,6045,6756,7489,7423,7329,7122,5657,4414,4021,3070,2246,1680,1042,344,80,6074,6221,5418,5096,5071,6646,7489,7738,7012,7068,6920,5469,4454,4472,3561,2764,2428,1682,810,288
"08V","E38000186",302996,155562,147434,10555,9352,8110,7493,11647,21783,22918,17949,12509,9338,6959,5547,3696,2508,1692,1561,1093,641,166,45,9995,9008,8036,7592,14742,24176,21299,13999,8975,6477,5402,4461,3676,2851,2092,1890,1398,894,365,106
"08W","E38000192",303589,153186,150403,11239,10475,8880,8146,9090,13559,15707,14756,12594,11667,9935,7944,5709,4488,3216,2664,1764,969,307,77,10710,9930,8438,7811,9723,14830,15510,13568,11099,10222,9426,7346,5791,4745,3714,3007,2207,1355,720,251
"08X","E38000193",388232,192808,195424,12301,10941,8337,7321,9928,21605,25945,23666,18395,13935,11435,8272,5945,5125,3574,2853,1855,958,345,72,11993,10511,8135,7400,14647,28384,26450,20091,13987,11585,9981,7545,6194,5687,4290,3389,2520,1578,797,260
"08Y","E38000202",240750,120423,120327,6195,6102,5273,4716,6037,9767,12355,12672,11772,10774,9579,7028,5124,4511,3326,2382,1578,835,305,92,5852,5923,5163,4843,7611,13379,14165,11723,9516,8524,7604,5973,5062,4683,3674,2726,1791,1237,625,253
"09A","E38000031",209807,109007,100800,4557,4358,3695,4618,10517,11914,12264,11538,9960,8639,7382,5572,3939,3366,2587,1725,1249,780,269,78,4442,4176,3651,5003,12743,12146,11443,8810,7028,5981,5389,4504,3745,3442,2732,2105,1638,1127,524,171
"09C","E38000002",129746,63731,66015,3982,4207,4055,4370,3652,3889,3807,3870,4039,4890,4715,3971,3352,3640,2928,1970,1318,730,296,50,3798,4217,3869,3749,3595,4263,4134,4057,4280,5044,4741,3892,3468,3967,3161,2201,1684,1106,565,224
"09D","E38000021",311413,156444,154969,7487,8014,7080,8214,13138,14302,13507,13064,13028,12986,11675,8833,6765,6311,4441,3227,2307,1398,512,155,7218,7673,7049,9196,16065,13992,12813,11873,11424,11298,10171,7662,6342,6145,4797,3858,3198,2386,1300,509
"09E","E38000029",220307,107435,112872,5092,5655,5833,7773,11180,7573,6264,5732,6009,6828,7176,6363,5864,6520,5145,3813,2437,1475,575,128,4737,5372,5327,8023,12777,7094,6037,5729,6291,7039,7313,6644,6138,7118,5726,4173,3271,2405,1242,416
"09F","E38000055",193647,93602,100045,4846,5403,4802,5415,5195,5363,5145,5138,5434,6455,6661,6196,5434,6515,5357,4136,3132,1949,841,185,4827,4811,4648,5228,5130,5487,5407,5245,5545,6399,6898,6287,6183,7297,6234,4831,4095,3235,1660,598
"09G","E38000213",507527,247415,260112,12772,13990,12951,13386,13378,14093,13702,13771,14902,17858,18542,16498,14944,16855,14362,10618,7759,4742,1865,427,12262,12758,12062,12873,13100,13898,13668,14091,15296,17808,18635,16921,15861,18872,16119,12613,10136,7562,4095,1482
"09H","E38000039",130632,65661,64971,4618,4507,3919,3730,3714,4672,5498,5426,4901,4962,4651,3993,3141,2745,1878,1333,990,689,237,57,4133,4251,3593,3506,3820,5175,5510,5147,4338,4530,4260,3830,3074,2892,2024,1561,1503,1195,509,120
"09J","E38000043",262314,128686,133628,8708,8823,7926,7719,7336,8472,8849,8819,8531,9469,9428,7857,6614,6463,5013,3702,2764,1549,527,117,8514,8599,7503,7217,7508,9427,9714,8957,8503,9494,9210,7786,6700,7016,5583,4460,3707,2345,1055,330
"09L","E38000054",180482,89254,91228,5861,6108,5193,5113,4370,5220,5624,6578,6768,7102,6953,5653,4703,4627,3475,2448,1768,1121,466,103,5436,5782,5175,4907,4222,5505,6239,6693,6493,6850,6574,5419,4663,4804,3842,2923,2529,1831,981,360
"09N","E38000214",221948,109902,112046,5901,6778,6347,7238,7103,6611,6732,7304,7939,8341,8332,7075,5835,5712,4580,3191,2573,1529,634,147,5528,6381,6110,7317,7793,6550,6424,7099,7612,7908,8080,6912,5664,6192,4998,3920,3307,2388,1351,512
"09P","E38000076",187199,91618,95581,4771,5178,4902,5284,5004,5059,4887,4748,5287,6524,7120,6239,5781,6745,5362,3716,2693,1550,629,139,4436,4948,4516,5103,4669,5301,4869,4842,5376,6591,6852,6412,6224,7285,5796,4407,3526,2578,1350,500
"09W","E38000104",295753,145648,150105,9807,9940,8949,9276,8786,9847,9889,9576,9452,10709,10823,9162,7813,7645,5666,3942,2563,1310,403,90,9167,9546,8888,8685,9262,10599,10319,10069,9563,10563,10676,9317,7806,8191,5978,4559,3388,2194,1002,333
"09X","E38000083",236596,116600,119996,6733,7265,7048,7294,5624,6243,6731,7461,8276,9239,9292,7957,6613,6672,5299,3505,2743,1790,674,141,6227,7191,6737,6692,5408,6314,6925,7735,8363,9302,9062,7783,6662,7111,5844,4262,3700,2754,1423,501
"09Y","E38000128",367856,183390,184466,11718,12086,10463,9583,9024,11126,12571,14346,14294,14454,14376,11773,9292,8678,6914,5078,4048,2316,1003,247,11279,11445,9822,9064,9424,11842,13348,13869,13579,13626,13145,11042,8872,9176,7501,6087,5145,3639,1909,652
"10A","E38000156",202429,98875,103554,5434,5866,5661,6021,5471,5508,5101,5263,5562,7014,7589,6806,6209,7118,5541,3940,2697,1431,512,131,5348,5763,5183,5608,5387,5849,5606,5585,6065,7043,7396,6985,6580,7307,6003,4377,3381,2421,1220,447
"10C","E38000178",95857,47571,48286,2834,2949,2787,2708,2465,2840,2955,3246,3504,3866,3805,3181,2562,2455,2032,1433,1083,612,201,53,2592,2884,2635,2560,2519,2908,3059,3332,3480,3712,3604,3029,2561,2670,2151,1664,1451,884,438,153
"10D","E38000180",110900,55005,55895,3734,3781,3369,3349,3278,3542,3477,3278,3424,3859,4058,3441,3013,3313,2516,1672,1095,583,194,29,3426,3507,3195,3234,3260,3771,3672,3407,3460,3869,3945,3472,2949,3456,2604,1837,1363,933,391,144
"10E","E38000184",144319,70194,74125,4308,4452,4251,4392,3944,4132,3927,3891,4031,4703,4984,4510,4102,4779,3791,2646,1800,1063,392,96,3954,4228,3818,3962,4108,4540,4247,4052,4309,4889,5042,4688,4534,5109,4173,3061,2371,1803,902,335
"10G","E38000017",140437,69863,70574,4175,4612,4488,4556,3655,4176,4575,4967,5374,5623,5617,4719,3684,3309,2414,1688,1258,673,243,57,3860,4462,4295,4516,3613,4394,4772,5193,5179,5447,5403,4604,3538,3394,2670,2004,1534,1048,502,146
"10H","E38000033",339587,167173,172414,10011,11235,10568,9808,8659,9520,9829,11126,11927,12943,13094,11046,9199,8777,7044,5292,3950,2178,793,174,9675,10726,10292,9548,8946,10207,10454,11644,11889,13031,12454,10865,9035,9260,7821,6062,4975,3334,1629,567
"10J","E38000120",223201,111221,111980,6878,7169,6470,6331,5749,6760,7411,7751,8148,8961,8756,7287,5796,5962,4660,3216,2198,1159,458,101,6410,6747,6078,5965,5661,7178,7746,7781,7839,8527,8551,7086,5843,6364,4917,3635,2645,1795,902,310
"10K","E38000059",203623,99712,103911,5628,6048,5584,5906,5620,5768,5638,5433,5982,7240,7810,7267,5931,6366,5052,3631,2653,1515,531,109,5424,5666,5256,5345,5207,5937,6076,5922,6495,7585,7910,7049,6015,6746,5720,4230,3536,2318,1141,333
"10L","E38000087",143023,69874,73149,3403,3605,3549,3940,3596,3836,3579,3496,3768,4823,5261,4810,4691,5595,4767,3133,2185,1206,505,126,3163,3359,3342,3606,3380,3740,3490,3559,3996,5134,5403,5091,5220,5855,5044,3488,2782,2002,1094,401
"10M","E38000110",118064,59056,59008,3502,3782,3617,3690,3013,3462,3802,3955,4265,4853,4550,3970,3193,3197,2476,1611,1149,664,258,47,3290,3640,3504,3568,2846,3593,3811,3861,4193,4602,4307,3711,3215,3389,2573,1786,1446,988,521,164
"10N","E38000114",110008,54836,55172,3512,3754,3188,3019,2646,3269,3740,4231,4281,4303,4175,3474,2813,2745,2083,1584,1076,662,240,41,3295,3628,2995,2867,2584,3596,3956,4182,4124,4029,3850,3245,2836,2910,2334,1797,1365,912,518,149
"10Q","E38000136",717856,358734,359122,20162,21398,20135,22211,27132,26714,25583,24500,23893,25962,26012,21880,17869,17852,13764,10132,7421,4229,1578,307,18786,20285,18838,21383,27184,26173,25503,23688,23004,25232,24850,21233,17952,18403,15210,11653,9030,6343,3278,1094
"10R","E38000137",222611,112173,110438,6741,6651,5715,6667,11125,9019,9207,8201,7459,7821,7626,6491,5091,4858,3641,2510,1851,989,423,87,6614,6328,5411,6415,10749,9413,8853,7228,6637,7195,7126,6008,5005,4817,3908,3103,2503,1821,964,340
"10T","E38000148",154726,78727,75999,6391,6534,5210,4506,4377,6138,7440,7493,6479,5610,4680,4094,3223,2276,1430,1286,921,451,154,34,6100,6297,4970,4304,4564,6486,7895,7131,5423,4716,4183,3621,2803,2220,1620,1415,1156,714,278,103
"10V","E38000154",212932,104378,108554,5746,6091,5873,6068,5717,5975,5850,5502,6251,7520,8185,7599,6490,6622,5460,3984,2972,1714,637,122,5404,5794,5655,5820,5425,6041,5825,5810,6285,7992,8355,7625,6501,7154,6055,4772,3778,2583,1257,423
"10W","E38000160",139894,71506,68388,4636,4262,3391,3931,6717,7142,7381,7002,5684,4970,4273,3439,2533,2021,1536,1169,794,431,156,38,4417,4140,3251,4395,8205,7231,7088,5570,4241,4005,3664,2889,2321,2055,1575,1272,1016,631,311,111
"10X","E38000167",275894,141514,134380,8579,8299,6608,8263,14863,12795,12365,11486,10063,9012,8742,7444,6161,5617,4281,2996,2080,1259,511,90,7904,7784,6275,8026,15403,12533,11157,9548,7889,7700,7664,6912,5777,5732,4516,3399,2793,2062,967,339
"10Y","E38000003",209871,103810,106061,6494,6880,6429,6447,5363,5950,6070,6565,7219,8183,8349,7189,5826,5720,4276,3073,2171,1107,390,109,6158,6590,6142,5886,5266,6278,6561,6960,7367,8267,8072,6951,5820,5942,4706,3349,2654,1803,951,338
"11A","E38000198",554310,270999,283311,14534,15905,15417,15788,14390,14886,14657,15533,17185,19991,20887,18994,16432,17548,14336,10325,7592,4533,1688,378,14016,15375,14502,14876,14982,15367,15316,16257,17645,20315,21382,18817,17018,18960,15495,11795,9533,6923,3529,1208
"11C","E38000207",154144,76782,77362,4546,4850,4443,5090,4565,4576,5034,5796,6029,6105,5739,4750,3751,3736,2792,2104,1537,926,346,67,4270,4525,4035,4366,5585,4845,5526,5763,5518,5613,5236,4428,3843,3841,3094,2445,2017,1428,733,251
"11D","E38000209",160844,80037,80807,4935,5495,5076,4616,3779,4354,4613,5719,6362,6476,6249,5395,4225,4193,3208,2390,1680,921,289,62,4673,5129,4820,4216,3713,4341,5024,6002,6119,6265,6029,5143,4240,4484,3604,2694,2144,1300,665,202
"11E","E38000009",198584,96436,102148,5054,5451,5396,6807,9183,5763,5277,5256,5809,6604,6829,6189,5462,5588,4317,3184,2271,1348,530,118,4777,5196,5047,6977,10165,6462,5726,5595,6122,6989,6999,6035,5422,5716,4695,3683,2934,2171,1082,355
"11H","E38000022",498642,250046,248596,15885,14904,12168,13647,22393,22958,23611,21086,17851,16952,15792,12939,10556,9830,7275,5257,3696,2197,876,173,15227,14361,11827,13955,24620,24609,23311,18993,15492,14730,14494,12220,10228,9752,7669,6088,5025,3485,1867,643
"11J","E38000045",789957,389179,400778,19476,20717,19506,21564,22266,23446,23178,23442,24035,27805,28712,26106,23149,26181,21502,15568,11758,7205,2879,684,18486,19858,18696,21015,22981,23334,23307,22224,22976,26747,27899,26209,24426,28131,23053,17630,14860,11175,5692,2079
"11M","E38000062",635345,312234,323111,17524,18662,17414,18743,18460,18267,18406,17992,19397,23159,24043,21390,18726,19374,15356,11215,7638,4374,1747,347,16651,18048,16824,18253,17850,19253,19061,18899,19990,23327,24377,21299,18935,20172,16381,12287,9788,6861,3672,1183
"11N","E38000089",563362,274751,288611,14525,15595,14548,15529,15907,15260,14477,14653,15864,18728,20175,19091,18072,20608,16618,11168,7744,4349,1477,363,13955,14580,13942,14925,15942,15537,15277,15256,16955,20083,21084,19783,19181,21795,17419,12325,9523,6551,3349,1149
"11T","E38000125",217100,106416,110684,5998,6623,5940,5942,5261,5727,5915,6306,6985,7995,8216,6828,6280,7066,5842,4079,2910,1691,667,145,5645,6106,5744,5629,5217,5914,6342,6608,6939,7927,7862,7139,6650,7625,6289,4721,3775,2577,1435,540
"11X","E38000150",565442,278612,286830,14703,15822,15661,17200,14826,15791,15499,14707,16399,20206,21138,19033,17301,19509,15444,10912,7741,4647,1690,383,14018,15290,14863,15837,14164,15956,15208,15099,16786,20203,21161,19447,18273,20230,16477,12245,9635,6969,3740,1229
"12A","E38000155",265835,131683,134152,8098,8374,7507,7747,7632,8597,8661,8682,8885,9966,10088,8378,6816,6992,5724,4161,2991,1674,579,131,7715,7931,7240,7157,7361,8933,8941,8848,8643,10056,9971,8096,6968,7307,6296,4785,3863,2515,1142,384
"12D","E38000181",227132,111719,115413,7974,7975,6807,6400,6306,6752,7524,7678,7945,8398,8494,7417,5885,5437,4030,2923,2059,1208,432,75,7564,7597,6363,6331,6327,8133,8737,8235,8072,8432,8240,6875,5735,5515,4326,3344,2630,1812,881,264
"12F","E38000208",334548,164727,169821,9524,10016,9436,9322,9492,10602,9955,9593,10314,11927,12455,11510,9929,10272,7673,5571,3944,2266,744,182,8860,9535,8988,8952,8927,10433,10271,9604,10468,12025,12743,11455,10304,10599,8328,6864,5413,3695,1740,617
"13P","E38000012",714704,359556,355148,24696,25878,23185,23264,24795,26696,27254,26233,25211,25343,23593,20306,16179,14792,11587,8676,6423,3795,1343,307,23236,24774,22456,22602,25073,26727,26428,23876,21839,23332,22603,19084,16025,15237,12682,10454,8887,6014,2852,967
"13T","E38000212",513335,260246,253089,14180,14374,12593,15096,24565,24028,21221,18112,16572,17290,17549,15488,12844,12327,8671,6723,4951,2596,891,175,13362,13719,12203,14956,25095,21378,18600,15552,14558,15697,16477,14825,12618,12577,9532,8516,6619,4216,1962,627
"99A","E38000101",514824,258323,256501,14828,14399,12534,14514,23448,22933,21239,18287,16778,17665,18124,16267,13341,11827,8106,6404,4509,2300,703,117,14198,13717,12144,15098,25747,21678,19542,16002,14551,16060,17601,15986,13133,12197,9005,7783,6165,3825,1619,450
"99C","E38000127",217366,106650,110716,6110,6449,5846,5819,5810,6687,6933,7229,7249,7863,8254,7304,6520,6357,4556,3293,2488,1351,443,89,5719,5934,5531,5433,5703,6893,7452,7308,7277,7878,8109,7580,6694,6802,4980,4228,3399,2394,1052,350
"99D","E38000157",164652,80859,83793,4354,4751,4334,4596,4054,4569,4681,4666,5066,6062,6158,5502,4887,5493,4367,3201,2247,1300,458,113,4172,4423,4310,4311,4107,4698,4696,4774,5269,6150,6188,5508,5136,5827,4689,3601,2779,1918,929,308
"99E","E38000007",275453,135697,139756,8799,8758,8277,8058,7766,8958,9110,9047,9208,10264,9983,8719,6955,7124,5394,3841,3036,1688,597,115,8295,8400,7794,7660,7617,9191,9643,9182,9074,10107,9941,8457,7315,7711,6105,4876,4089,2652,1239,408
"99F","E38000030",184078,90650,93428,4601,4974,5023,5395,5333,5298,4942,4862,5570,6860,7023,6188,5252,6193,4991,3598,2639,1321,479,108,4271,4855,4746,5102,5016,5216,4939,5008,5763,6839,6856,5999,5571,6787,5640,4238,3250,2038,1021,273
"99G","E38000168",185948,92601,93347,5541,5834,5162,5304,5190,5764,6232,6416,6583,7008,7062,6081,4864,5045,3887,2770,2056,1216,478,108,5349,5496,4849,4977,5220,5972,6261,6175,6329,6591,6527,5635,4828,5298,4314,3194,2700,2089,1105,438
"99H","E38000177",304251,149649,154602,8434,9831,9179,9201,7389,7725,8174,9725,10983,11877,12032,10282,8288,8345,6598,4655,3675,2201,839,216,8253,9344,8944,8557,7668,7922,8541,10313,10950,11740,11631,9950,8308,8782,7311,5664,4723,3476,1836,689
"99J","E38000199",481447,236094,245353,14554,16147,14860,14441,11926,13296,13774,14639,16453,18273,18128,15194,12694,13511,10803,7455,5516,3142,1049,239,13674,14911,14279,13864,11959,14277,14739,15710,17074,18559,18252,15215,12949,14407,11598,8837,7020,4886,2343,800
"99K","E38000081",168956,82730,86226,4132,5078,5066,4866,4250,4250,4047,4201,5102,6313,6708,6078,5344,5577,4596,3029,2248,1254,482,109,3857,4645,4727,4798,3925,4207,4131,4461,5510,6600,6863,6034,5568,6113,4925,3597,2848,1976,1045,396
"99M","E38000118",225171,111331,113840,6996,7169,6808,6386,6189,6759,6922,7452,8295,9026,8889,7117,5542,5761,4647,3371,2219,1210,466,107,6699,6967,6169,6204,6349,7352,7524,7855,8288,8766,8316,6697,5793,6138,4967,3816,2794,1871,967,308
"99N","E38000206",479666,232041,247625,13289,14435,13912,14405,12040,11441,11497,11803,14024,17420,18392,16984,14750,15410,12192,8677,6281,3484,1309,296,12331,13918,13414,14032,11919,13248,13227,13477,16203,18616,19223,17045,15022,16202,13211,9770,7632,5392,2824,919
"99P","E38000129",909320,442891,466429,23963,25446,23625,26288,31683,25762,24841,23928,25486,30342,31739,29544,26911,29786,24216,16968,12133,6949,2654,627,22455,24137,22365,25890,32239,27127,26422,25243,26763,31843,32980,30641,28299,31132,25727,19452,15500,10766,5580,1868
"99Q","E38000152",288365,140379,147986,7068,7692,7483,7976,7494,7603,7029,6836,7840,9777,10647,9842,9514,10772,8849,5996,4308,2439,973,241,6759,7243,7039,7350,6987,7685,7356,7425,8367,10296,11227,10410,9972,11240,9330,6875,5539,4001,2182,703
